product_name,price,review_count,star_rating,category,product_link,search_keyword,price_category,review_category,star_rating_category
ACER 宏碁 VH3760T系列 - i5處理器 - 16G記憶體 / 1TB SSD / Win11家用版電腦,16888,27,5,電腦,https://24h.pchome.com.tw/prod/DSAA2P-A900HPLXI,桌上型電腦,高,非常多,非常高
ACER 宏碁 Revo Box 系列 - N100處理器 - 4G記憶體 / 128G SSD / Win11專業版迷你電腦(RB102),5990,19,5,電腦,https://24h.pchome.com.tw/prod/DSAA2P-A900HGX4H,桌上型電腦,高,非常多,非常高
ASUS 華碩 ROG NUC系列 - Ultra 9 處理器 - 32G記憶體 / 1TB SSD / RTX4070顯卡 / Win11家用版電腦,59999,15,5,電腦,https://24h.pchome.com.tw/prod/DSAAER-1900HYYF7,桌上型電腦,高,多,非常高
MSI 微星 Cubi N 系列 - N100處理器 /8G記憶體 / 512G SSD / Win11專業版迷你電腦,8990,22,5,電腦,https://24h.pchome.com.tw/prod/DSAA5Y-A900HHZO9,桌上型電腦,高,非常多,非常高
MSI 微星 Intel 14代 Core I7  二十核心 RTX4060 電競遊戲繪圖電腦主機  (已安裝 Windows 11 家用隨機版),37080,2,5,電腦,https://24h.pchome.com.tw/prod/DSAURA-A900HNYIK,桌上型電腦,高,中,非常高
ASUS 華碩 系列【天魔聖界】R7 9800X3D八核 RTX4080S 電競電腦(64G/2T SSD),98800,0,0,電腦,https://24h.pchome.com.tw/prod/DSBC69-A900I3UUW,桌上型電腦,高,少,低
MSI 微星 微星H610 {新王者} Intel 12代 (I5-12400F/RTX4060/16G/1TB M.2) 電競遊戲繪圖電腦主機,19990,0,0,電腦,https://24h.pchome.com.tw/prod/DSAURA-A900I0C88,桌上型電腦,高,少,低
ASUS 華碩 D500TE系列 -i5處理器 - 16G記憶體 / 512G SSD / Win11家用版電腦(H-D500TE-513400225W),18900,1,5,電腦,https://24h.pchome.com.tw/prod/DSAA31-1900I4EU3,桌上型電腦,高,少,非常高
ASUS 華碩 E5402系列 - i7處理器-16G記憶體 / 512G SSD / Win11家用版液晶電腦,19990,4,5,電腦,https://24h.pchome.com.tw/prod/DSAA33-1900I2KJ4,桌上型電腦,高,中,非常高
MSI 微星 微星H610 {新王者 W} Intel 12代 (I5-12400F/RTX4060/16G/1TB M.2/WIN11) 電競遊戲繪圖電腦主機,23980,0,0,電腦,https://24h.pchome.com.tw/prod/DSAURA-A900I0CBN,桌上型電腦,高,少,低
